delta ch(1),theta ch(1),alpha ch(1),beta ch(1),gamma ch(1),delta ch(2),theta ch(2),alpha ch(2),beta ch(2),gamma ch(2),delta ch(3),theta ch(3),alpha ch(3),beta ch(3),gamma ch(3),delta ch(4),theta ch(4),alpha ch(4),beta ch(4),gamma ch(4),delta ch(5),theta ch(5),alpha ch(5),beta ch(5),gamma ch(5),delta ch(6),theta ch(6),alpha ch(6),beta ch(6),gamma ch(6),delta ch(7),theta ch(7),alpha ch(7),beta ch(7),gamma ch(7),delta ch(8),theta ch(8),alpha ch(8),beta ch(8),gamma ch(8),delta ch(9),theta ch(9),alpha ch(9),beta ch(9),gamma ch(9),delta ch(10),theta ch(10),alpha ch(10),beta ch(10),gamma ch(10),delta ch(11),theta ch(11),alpha ch(11),beta ch(11),gamma ch(11),delta ch(12),theta ch(12),alpha ch(12),beta ch(12),gamma ch(12),delta ch(13),theta ch(13),alpha ch(13),beta ch(13),gamma ch(13),delta ch(14),theta ch(14),alpha ch(14),beta ch(14),gamma ch(14),state
1962.611547,179.9967707,199.1928795,98.07671046,20.53049061,4676.459938,412.6650241,476.7575267,203.7665424,41.77478403,3902.233006,428.7259777,703.453506,207.1365436,37.52436386,4214.036119,383.7657105,471.6791781,186.2623646,39.00168257,4292.983731,398.0733931,152.001756,173.8761992,40.74224651,3626.000027,378.0665898,206.7623177,147.4196261,33.07586788,3727.334552,480.1056791,1079.303483,191.5437764,34.7567488,3496.694379,406.3242294,505.0047698,218.4310516,33.84263209,3548.673525,410.5195655,322.588987,234.057847,42.81940384,4855.515892,465.4802542,480.5563881,262.6465255,39.31461355,4790.093114,442.8874773,748.7800109,275.3105477,46.79854305,4422.318472,398.9613752,783.2263494,255.9620098,40.52042773,3907.376378,343.2897723,626.9673667,261.0210503,45.11360127,3319.290305,283.9005862,623.4423207,249.3668966,33.6297207,3
125.1605259,45.73168209,48.78556043,13.71566181,6.189365679,215.226329,131.1612231,145.3583743,38.60996229,5.179621646,200.7171296,177.776815,280.4962858,45.71055938,4.163237591,123.4080896,107.3930384,142.9203881,45.35986418,4.966630948,98.13824917,25.1150772,48.89030824,10.5508385,2.887530029,64.84862516,12.92622065,71.35404645,13.17509925,4.070243136,63.79607415,60.76998917,467.7869383,36.1457965,3.600534532,127.543663,72.05879413,401.6054384,39.6026906,9.369869649,120.2223824,84.4002523,153.587868,47.97008459,9.947205895,116.0975682,95.53959908,119.8087817,57.13383959,8.788266028,190.4966656,91.50394998,159.1861457,41.86242944,6.524598133,240.9333176,185.3454456,277.9924322,45.10660846,7.500448419,239.8548616,89.9806945,200.2085857,46.23316324,8.933420639,220.2293861,140.5521316,225.6020081,35.4656432,5.738870427,3
18.13586094,12.04166898,45.36705938,49.94059227,5.665181449,16.19058295,33.95345055,133.5034164,118.3277865,3.847850789,62.67545667,111.8464569,386.1539644,205.4104658,6.755643262,51.97072518,60.30837038,214.9688366,111.5141844,5.043739968,14.85737067,3.951861233,16.74595829,11.99846908,6.858443306,20.20665114,13.52920306,86.53185046,17.81031977,6.710435036,70.54331755,58.36084103,542.4649247,55.45679093,6.30097978,347.0026232,175.6236063,531.8525606,134.6645469,12.35813509,52.55058007,83.46980652,292.0334527,56.09294093,6.90568565,37756.27156,10506.45939,3302.402758,1680.427597,31.21131036,29.33198151,79.01154683,184.6357635,143.7512524,6.692264582,36.85448292,94.53701194,315.9187608,244.8571322,8.196374816,18.25880758,73.49205097,120.4691652,138.1606536,6.698502371,28.20367855,67.74191056,238.2461408,234.4695778,6.38020032,3
17.60233604,2.784512046,10.50797515,27.12341295,5.361583439,55.92866188,7.385188896,34.75219122,42.56585576,5.241163157,119.5903734,7.799716039,66.61106818,54.09152398,5.237060629,540.1107569,25.17171851,35.51391887,32.29476918,3.340898177,23.66576415,4.78634755,8.199786551,26.16074969,4.307687097,7.887024009,7.596496613,29.29371285,16.32362918,3.038007805,9.678141792,23.08728163,393.1592179,45.24380525,7.184666889,32.12739481,122.3162649,880.8413314,40.67166114,8.084155274,38.30012488,55.26494673,369.911406,24.22561845,6.749529582,136.7716901,25.9703538,123.1855506,23.61386939,12.12525945,154.6671583,6.221605,71.79780154,45.10218585,7.901949614,157.3870913,7.156059527,75.15508461,76.75690253,6.129663699,129.0858713,5.468336005,85.78882998,55.97526089,2.952218586,61.8342649,11.18831495,73.60374271,86.98756014,3.919072268,3
8.544356662,16.58342113,23.05338834,8.866135868,6.720786275,17.29793565,36.59780107,74.49836035,19.09349984,6.791139362,86.49631806,45.68496884,111.0937529,35.6125398,8.960233354,21.91125159,44.57778216,83.08834909,32.21357587,5.283210468,11.22255732,10.27761972,6.512358154,12.5212827,4.066756072,11.54861896,14.74933931,80.0591866,14.87918581,5.91800285,30.20804898,45.46123293,436.1671039,23.4312598,11.55903746,21.64583568,27.80611924,369.0285104,51.80610963,12.05168952,18.95261322,28.05659958,267.0335315,63.61420303,12.94475627,59.03835616,45.69087794,119.6908704,90.93555674,6.439859487,39.00797222,67.49401277,113.8318407,62.02228623,5.652968115,37.00573389,55.2273797,141.6938747,40.57497666,5.33881721,41.57268023,54.36193185,111.4274691,56.66047222,6.972949955,26.67106481,68.11899659,116.664305,33.90710952,4.893369835,3
4.563735396,18.81381258,17.39975693,20.54041749,6.953012662,25.22142721,41.52763793,40.63779538,32.52879965,5.206991713,109.8192748,85.52563174,120.3153717,46.73398976,6.623723404,159.227612,33.78002772,27.73182199,28.12519394,4.611213038,19.88380018,22.57214379,26.57670682,10.72937165,4.758641466,10.34747392,11.94873505,54.25518079,9.588774362,2.870649652,36.27659498,26.63766174,449.0700671,40.67495742,2.671471501,43.960387,40.0403751,259.1151638,35.88156293,5.615891866,67.17029456,46.31615489,162.7303548,22.04278071,5.754622007,154.4944409,94.2448416,137.2835019,34.1441845,9.485595732,128.4781269,102.0079124,243.2828485,40.4154612,8.813965652,98.64728583,101.097526,147.5704457,54.9045563,3.565253457,140.0549816,110.6282548,170.3307536,33.25603699,5.747268273,100.4871193,88.17966613,69.24121679,58.059941,5.866100734,3
7.653483213,5.590228301,72.74239966,23.90029111,8.506823494,13.80750336,16.59980775,133.3237094,51.63306696,4.335722501,228.3116635,68.8956611,213.5575926,52.8648784,3.909273573,10.99629588,45.07274135,132.0057599,45.80480609,4.320287776,5.097845288,6.443235696,62.09148282,13.52691453,6.570822218,15.19895647,14.94772077,45.63086924,15.27692175,3.440753456,62.99135542,103.4038526,432.3853714,89.95680735,5.368365212,41.71426769,92.77880681,1169.167292,260.0316232,6.729242107,35.26647079,73.65803463,644.04276,203.4542831,7.766989303,55.3122134,80.14759888,218.9436354,112.7369675,9.202994306,39.18482357,42.80540741,123.005761,71.71455457,7.062539229,136.2749769,81.86610794,303.1406643,91.73788133,2.893717395,44.58470522,45.85748014,178.2368767,84.90647731,6.681083745,42.64958779,86.31052532,355.8402825,80.78522208,4.348639493,3
24.00503478,10.0596373,18.99946519,8.281073798,5.654624624,54.26253915,29.48481896,21.15109411,18.82608117,3.927933359,457.2221706,54.75553414,79.35765839,30.55239898,2.653773828,40.52639815,31.03942393,40.30861586,27.01578471,3.217912853,19.28209193,13.19311683,18.57982492,7.873989825,1.742763696,33.73279518,11.53835371,35.87017182,6.540168134,2.651908969,45.89550552,23.01266109,384.2531615,25.4192803,8.085906672,44.31309186,87.70567424,269.6212266,72.11229206,6.786823331,30.25731021,82.45293749,178.2312577,82.98125732,9.339876577,53.62512849,97.31398831,76.44439001,79.76418376,7.350151049,70.56002474,86.06882275,101.2955887,47.35818885,8.038782049,115.7864975,61.19210397,107.826289,28.10216964,4.439345051,97.61278031,58.99792238,94.59037075,37.49593668,8.07567177,89.71449653,42.63983119,102.7599684,32.18137063,6.249311693,3
4.793098926,22.73498954,32.31637699,16.03780967,5.687004359,5.37750482,60.46452686,130.5304182,27.09044015,4.497373516,34.95333812,140.7802518,287.4502016,43.18463241,5.732136824,281.7283792,91.53635261,236.2723741,27.0812512,2.925651565,18.3085143,23.24032681,21.16135334,10.97345681,4.788880838,15.44270438,14.90231162,144.1861928,21.41405155,3.952728056,27.00635432,67.11155955,486.6338961,71.82548541,3.009788528,27.00178368,160.3862227,630.1578911,74.08685616,5.432208751,19.64247142,190.5809084,310.6873929,47.06721671,7.998896622,14.70966215,149.6073618,85.82467738,48.15359726,12.52177511,25.83398357,126.2415051,119.1793966,36.0881921,11.00734566,38.21035099,132.284742,207.4448237,43.82321137,7.924619453,42.09846098,140.3633164,77.05404656,35.5441146,8.107851991,15.7732559,124.464064,143.8130045,34.72565323,4.959284587,3
16.57873037,3.536341021,12.53367659,25.00029286,5.227751782,24.07282966,6.479883028,34.94833936,52.51691137,4.786796369,48.31125583,18.73886646,95.73936218,68.83824763,2.703943232,78.54959292,10.48996244,77.61655868,44.01501708,2.64714132,18.73064896,4.192181452,36.24074388,11.84494087,2.86417762,13.67666876,6.982393342,66.24477627,9.433714509,4.106067346,19.18036469,31.20904098,282.8333412,33.05687893,4.217310397,12.41227423,25.3903427,134.0534977,62.13457791,4.538133277,14.07859732,22.74788028,104.2021393,46.38616548,5.213591175,21.4357535,24.27600237,79.30974548,60.92528867,6.863090192,37.07377007,22.06373242,149.0866179,70.5142524,7.571646246,40.51549744,21.20892761,113.5807081,85.52946049,4.351279446,56.66607463,15.29867108,130.013492,73.42376041,7.874507179,35.49767548,10.72313275,75.36831761,91.52854883,3.574452927,3
