delta,theta,alpha,beta,gamma,state
8553.308897378918,317.36242477515077,66.4653252462668,204.2342531298189,1815.4506497887364,1
9667.980994473573,181.48746498188396,54.260087793162135,203.87211552959678,1803.5632134119912,2
3252.4135444997387,162.05898724706557,51.60489648956236,203.39789231078257,1810.5486238373794,3
1385.6105527813256,172.0593708544473,57.130661863883866,206.99889626621317,1862.6609620294528,1
1152.986435054889,171.6247141299485,57.02454188928721,206.46507243813127,1886.2540666643815,2
1187.6764490250778,171.73046167592398,56.42318412055711,206.8756493295684,1899.6674511859658,3
1089.8961135974746,178.84373163826544,59.860789811287006,207.35155457413143,1779.9953135422716,1
686.020434818792,166.19084647537292,67.25893437118097,199.38395352217958,1764.2305722496287,2
1141.307187329335,169.09629525224085,53.58970049815765,196.84933274562835,1748.6819483634197,3
696.140517788903,173.67414696634836,59.72581169974181,188.93753147706934,1716.986693060397,1
942.1280373628279,168.81498693244717,139.78942998572583,197.9143525865229,1667.2055239893375,2
610.8935321359637,173.4763758737698,64.82364577534753,195.7751737633608,1653.8139596592162,3
495.10441707684964,173.30817887719556,81.37056391004502,163.01339429994238,1496.094357649808,1
445.23787610957913,174.59311482112207,107.52688988266912,169.79009432964864,1483.4107775168006,2
446.8693416855435,172.12074100300583,110.85964312168369,212.30772528111493,1388.7734751103994,3
915.644304562425,90.6753605149617,43.65094661195828,588.995020057304,2013.2215488951883,1
1004.8887989620243,94.68441596573714,45.99731137371867,608.1514904963306,1991.597493620287,2
1037.3317506884755,91.78648883460916,45.856515905722915,596.9118029247617,2020.3023133488882,3
528.5907721451339,166.3946353236053,62.65068983272177,211.68363270161143,1853.439171516567,1
755.9090260606672,165.34164419120975,69.3737940617278,212.75713713968148,1822.9199222294935,2
532.4257605720616,166.00067952994613,66.77450389405229,213.8397569228546,1829.7204027678783,3
557.1921733007043,158.91112893252733,52.07772370107733,199.82319692759057,1804.4776113434234,1
711.9092092430701,154.9466054788954,52.93744819053897,204.38091071913726,1835.3482096217172,2
1453.5090236978817,326.32349200387006,108.1834481119848,250.93260637661675,1853.5168448879008,3
521.4916268418795,105.41455013261631,29.79585865433214,212.0515708432978,1802.6303514054769,1
631.6611864053141,97.2054384664026,60.67995131988327,220.09327376875555,1749.2151358789538,2
438.61981439950324,89.62673038946096,28.991780849917827,207.11152546578606,1692.2077573904437,3
643.4316456710568,168.01947780857694,58.24779122527739,213.24451196694855,1865.51447736165,1
692.9904185562693,169.70875161653075,62.00708009554488,214.79987531774282,1869.0562373607695,2
593.0932673204358,170.8226015160845,59.3793129536847,216.95146712911585,1887.6009907916832,3
520.1204088868609,165.10015605641416,62.35040200654561,187.1176217310221,1562.2858714579672,1
505.50540365817676,171.14892014420056,72.7499577607844,178.62234067337295,1452.2439398788758,2
457.616183096779,171.27082816097808,81.85888013508993,161.40238591679773,1242.7637334483932,3
547.5338415016914,161.17983591954194,54.12895915670373,205.35135004441707,1875.4259549430278,1
683.7503864518006,166.3479567417544,66.02106382025075,211.37635942329862,1862.4922036935932,2
623.451142017618,164.7250578797631,62.14164363385472,209.373696332866,1864.001416332019,3
565.8286743398935,170.5824200401987,58.00573418756263,207.33186051577704,1858.8964413580995,1
692.4691298990056,171.69806633491757,63.17101164749363,212.9729143069526,1875.8556607399682,2
581.1591022638191,171.2635390950898,62.36755314765316,213.5533304582562,1901.7242375334465,3
541.4165117641277,159.55733423340808,52.1366193387636,191.9488265395678,1819.2104998000534,1
520.8425916293719,155.6537413854356,83.75547211512784,202.73634317066555,1826.3587135860294,2
