delta,theta,alpha,beta,gamma,state
1237.9353392294265,26.654824988132734,4.319927227111083,5.587181038953536,2.346162154975535,1
2706.8093606685266,16.752474756783894,5.756114366010832,6.08943700910275,2.7694636088191436,1
12299.778781501878,216.29664038383723,21.946405334255783,10.488319707501523,3.565330939869997,1
6337.902263729129,12.716596970324307,4.337742528965632,5.991418990413364,3.326027842944361,2
2210.2815589699107,26.396301300208986,4.36589656480305,6.468047302488615,3.2258838254723954,2
6132.013922690497,25.131828289678484,5.525609823883122,6.923929185402498,4.370456084997104,2
2144.435248393339,10.44886477001181,3.4474081502392897,4.930767643455404,2.0022103937335283,3
1719.4823437225077,11.885981186905145,3.4758163253531893,5.203832868692514,2.1023108631431433,3
41.705278278788946,7.948842464530024,3.0427197135930144,4.347129857222805,1.8524144135013338,3
976.040358155009,7.9926893771657515,3.4989912883437344,5.344032151623225,2.2530646036123847,1
915.5604407355813,7.940541837387946,3.3589247311807537,5.572702625506815,2.3521531320189735,1
740.8598219698779,7.914192363562177,3.0497841731201487,5.496367102943839,2.4022212701520993,1
605.5756764155014,6.559422365787005,2.8278685623196944,4.440392814111301,2.061843799457926,2
531.5762480642278,6.180267096816823,3.316560116276391,4.74673110084263,2.100757273830081,2
742.0035145606322,7.193076330565168,3.619766538699511,4.857104708366015,2.0900107156738215,2
680.6848542342577,6.7998000897667366,2.5811990728509544,3.9249158693159765,1.8535968589006753,3
549.5425744627236,7.199053012482376,2.820013649384435,4.170800479896719,1.8488396356616887,3
711.7686229967687,7.5907276134131845,3.5651647841000504,6.1912502966609555,3.3445239459546854,3
271.20389595336763,7.525949040923039,3.0621899617203114,4.5369868393544275,1.8568297911096157,1
567.9271205467455,7.660424568356291,2.7997212936770075,4.477140524127962,1.8747673777962173,1
772.4385634949665,7.678400966264947,2.9100969524998948,4.167745167071845,1.7281378011033008,1
147.55618075394136,5.460035515128641,15.342254504647267,4.51754496140766,1.55503119520488,2
236.66229592099123,5.375243662139618,11.49799717186156,4.965011693731147,1.6956718334841454,2
84.85605767676773,5.674277783775877,10.287416735539935,4.847980330841303,1.6120582617896921,2
748.824701958104,6.631065734910877,2.844367534123567,3.9423236166999693,1.8793246217771653,3
530.2217212490054,10.047686828911838,2.895343824546134,4.519684660975725,2.272378501854679,3
539.5021715227805,8.82704091837074,3.0020014276383304,4.452185551907381,1.9557452909458808,3
286.3977062536923,15.820379067677901,5.980856404645394,6.730740528996297,2.4289981739590703,1
196.9578944884317,13.283678396624932,5.755194734658716,6.900820798545887,2.3202682055781776,1
84.47950537438695,10.504172369468899,3.808412445066147,5.865800831140327,2.2842891650096724,1
389.32506230162784,9.997643900630871,47.326813040191574,9.73979232929135,1.8917504307144557,2
253.89108024804474,7.690969877325834,60.27998084109041,11.017506811666749,1.6719994043411255,2
689.162131279264,9.790803701083963,39.32475855047114,11.286244898191816,1.6867951175263778,2
153.4578458314596,15.993689596974045,7.296976182398053,8.642270842672575,2.1973925502985274,3
76.45375669648811,9.147357356637224,6.216843617693784,5.997556356600933,1.9430297463787016,3
77.85507437339295,9.988195077369724,4.949049038936737,6.524096817275084,2.651056135677501,3
42.344540689119704,8.563194845860046,2.6027635176762614,3.609581966753667,1.6180946120384962,1
