delta ch(1),theta ch(1),alpha ch(1),beta ch(1),gamma ch(1),delta ch(2),theta ch(2),alpha ch(2),beta ch(2),gamma ch(2),delta ch(3),theta ch(3),alpha ch(3),beta ch(3),gamma ch(3),delta ch(4),theta ch(4),alpha ch(4),beta ch(4),gamma ch(4),delta ch(5),theta ch(5),alpha ch(5),beta ch(5),gamma ch(5),delta ch(6),theta ch(6),alpha ch(6),beta ch(6),gamma ch(6),delta ch(7),theta ch(7),alpha ch(7),beta ch(7),gamma ch(7),delta ch(8),theta ch(8),alpha ch(8),beta ch(8),gamma ch(8),delta ch(9),theta ch(9),alpha ch(9),beta ch(9),gamma ch(9),delta ch(10),theta ch(10),alpha ch(10),beta ch(10),gamma ch(10),delta ch(11),theta ch(11),alpha ch(11),beta ch(11),gamma ch(11),delta ch(12),theta ch(12),alpha ch(12),beta ch(12),gamma ch(12),delta ch(13),theta ch(13),alpha ch(13),beta ch(13),gamma ch(13),delta ch(14),theta ch(14),alpha ch(14),beta ch(14),gamma ch(14),state
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58.17819452,29.07375467,49.54526968,22.94551116,20.73561092,104.0999408,18.71521514,49.77274406,30.04725151,11.91934285,72.87429523,34.04303686,53.29239999,30.65077972,17.93503876,95.93363256,24.46707462,49.66327027,30.92651105,10.58159793,46.66257707,16.18551834,24.46835127,46.59271596,44.74511365,34.3196342,10.98568252,13.40554258,21.28325403,13.8167951,52.96899609,21.95401301,14.94311895,28.45784507,14.41486819,64.2400358,36.41750268,35.84427623,34.81726676,14.30561099,54.78290077,29.7340032,34.1960172,41.45956425,14.00735276,55.98262589,41.78440168,63.07422019,74.3053611,31.90530819,213.4567782,35.51987149,98.26285835,57.86694415,21.19337479,98.29629357,43.31327362,91.05183746,42.05099358,11.67744276,127.9763752,26.87625246,63.55553622,34.60540258,8.790410524,38.08572465,26.45525051,50.82233382,22.68446725,14.16665884,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34.32384639,14.39197804,33.43384814,38.19835219,18.93633413,25.01919857,21.17302708,30.96260467,39.30272109,8.740972849,22.42071141,15.18511865,42.12587002,46.78672516,17.57164405,36.44310107,16.46818096,32.00147173,39.87833684,8.972219827,13.69080546,7.567145657,20.95390204,55.07436237,41.80060836,37.92134129,6.118004334,19.54879759,29.6577544,28.73089015,39.66238243,13.81251758,46.27460546,46.12611028,29.38667565,98.66264713,36.5635362,73.89833311,69.01582672,17.24367138,25.71088231,33.09594496,36.26924059,56.22368403,17.54947274,40.13555879,36.79921023,38.12628402,93.38595736,31.57027405,49.94593469,31.11368119,47.53207373,70.64121089,19.19170099,28.27591639,16.36976532,42.04104246,50.43259842,9.254357281,46.73445985,25.9073035,37.08078111,53.82056439,11.84010976,29.24221213,15.12797451,33.75673652,36.95291359,15.30001422,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106.1505204,58.49862544,74.65703328,48.49294622,24.63993318,141.3387017,62.30257105,58.57730206,57.42522437,10.2008139,356.3968799,130.9361967,72.61171499,56.99048873,20.51925079,342.6726756,108.9142844,61.5416929,49.53078879,11.91820361,62.21918766,36.1187583,28.45214237,60.52150697,41.52114858,49.91000014,12.36661031,15.03148555,25.36776161,17.42795632,57.45459524,12.66825344,28.05903404,36.85705557,22.1397838,79.1859162,27.20859481,147.0485891,64.72949838,16.30786671,37.73837046,27.93798857,108.6088918,62.57707077,20.26791241,45.87152509,67.57155635,152.9543491,108.1700263,24.33516018,164.2307728,123.7798143,167.9932077,102.620913,16.81834419,408.2437064,119.098363,102.4111044,66.97881464,11.58867383,97.27371892,51.58525878,120.409094,63.66723363,10.64091521,107.2322686,53.78489505,95.35070653,47.4252043,17.77312638,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68.47985986,32.43762109,31.34128609,33.00067288,21.87617055,84.8886545,29.08103393,34.38813,31.67312368,9.596558986,87.38731622,46.84147697,27.26287062,35.23304799,19.4095842,153.2898976,45.67892794,20.65737163,41.44476914,8.351656462,53.57171016,12.02728572,19.57822384,62.4625334,37.46745543,34.21526187,11.61408705,12.44165192,25.36943854,13.92389895,39.81649708,21.69486505,32.43288399,32.73067688,17.08504695,70.88633689,35.91266865,73.53412147,48.39280625,18.83754744,58.84443812,26.97722308,26.67505048,48.86290076,18.31854325,109.7217799,42.86552029,43.48839236,92.05250758,21.83143597,160.5475363,78.96439595,66.07590518,89.33663539,16.29949062,730.326424,117.2459425,82.62748816,97.10378763,18.67675594,53.45748597,31.54553185,46.03681785,47.19819129,9.738633126,53.88149289,30.76194739,39.0597137,33.7828342,18.63587663,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25.04739896,48.0494633,94.71932016,43.09289712,26.60605725,17.1666675,49.94814959,88.80392576,41.47139913,12.90169677,17.71936586,54.59727467,103.601006,53.10842387,26.22546338,27.26252417,51.27867793,90.62045944,39.30981472,17.40528934,17.81212245,29.03292522,30.64504864,39.11422724,26.22232614,28.89758448,15.49581069,15.85666866,21.42060881,12.87048996,46.17152326,15.23270764,32.95626457,35.55464993,19.8632004,59.50264765,38.11959972,113.4434305,68.01454459,23.18355204,33.57138558,37.50522784,86.42835568,70.89788143,23.27862355,43.43769992,72.80941244,132.4406774,131.3209092,36.16905848,126.458687,79.0583732,113.8279622,88.44903325,18.0249384,21.31453276,55.56089848,114.7724687,56.82353794,15.19282293,27.58713177,39.52657364,93.21485157,49.09235009,12.33682667,24.28126254,40.47926521,86.75722525,43.17535636,24.24772706,1
