delta,theta,alpha,beta,gamma,state
1112.5753719165307,153.458773164021,45.78502246430526,193.14738980593947,1824.3377556961736,1
1994.3523061192147,148.2343024524968,47.02152066787028,192.822997956471,1815.1671041101204,1
7812.702036990812,271.3266453405528,56.740025480944404,195.4437455478649,1798.4495677137313,1
4396.854506096207,145.24122215102824,46.58391419417917,194.34743702517298,1792.8791083605731,2
1784.8128203633726,153.14522409157118,46.51040442813887,194.3042058918345,1799.282488518165,2
4227.106560720642,153.4493675681098,47.272516195684815,195.77890898124397,1805.2314693196513,2
1729.2151547943265,143.7516341349906,46.28785328377309,196.10251439598974,1807.2058515894744,3
1460.2300684921822,144.44324673095582,46.32159934148802,196.11754398317726,1809.8631437390197,3
425.3544305018834,140.94169807767716,45.59124405329528,195.55879612261637,1807.1469056236042,3
719.2377123164664,157.15062937934616,51.56248552653949,197.81909576532445,1855.8165782359395,1
690.972997321189,157.64548604309948,51.71107268140129,198.88672654912673,1857.2855053643168,1
652.5641093092854,158.3852593891631,51.79303169378041,199.82751476824222,1864.2903202053526,1
631.8257892436883,158.02310403781271,51.52065188033324,199.31712528831403,1883.9005482919008,2
617.7300072301643,158.1052350056255,52.00224366943381,199.73091556980586,1880.2300517606534,2
697.4970905837233,159.48692758091312,51.997878521039404,199.66925923786275,1885.8046175909126,2
625.2298365212577,158.0115304231938,51.447469929891554,199.27546718555735,1889.601385051814,3
596.239379575973,158.34617504389738,51.69056068646655,199.6430216462902,1891.6881193342047,3
613.2321594172039,158.42043454784837,51.73370154010239,201.3499421873887,1908.4064278724597,3
529.0158645197081,165.17134606157583,55.08101829671513,200.75939372890818,1780.720886436739,1
633.1263926962599,164.62397878343285,54.60327799458197,200.41431161118618,1780.0696733245993,1
701.1613791250339,164.47757078761512,54.77878794686097,199.42358050579827,1769.814470112779,1
488.2982465285977,154.81747956988883,54.75221687127064,192.39644924492222,1764.0405893387172,2
497.2236278442578,153.8857011413576,52.66927229637081,191.98393381942054,1762.5832242072959,2
452.12656606397366,152.67773504604955,51.56872685824567,190.75563502571094,1757.5736890612868,2
708.6968539799418,152.47805069152852,48.12037201236349,189.2187352657963,1749.680884244852,3
624.5335012643485,154.90995372709745,48.63610905039838,189.79613732851112,1740.8778267938978,3
627.5189360669565,153.46530951123086,48.18492105651455,190.01874230252176,1744.8865368565673,3
475.65363036792945,153.06434805864146,52.0446050423886,180.09100805934173,1720.4239733270463,1
466.9309804784156,152.49652633902426,52.23336073958426,179.61449071977586,1717.9080369043552,1
440.8418338055814,152.9324679526855,51.826233825889574,178.1934952906645,1701.9270796454823,1
484.14257648447386,151.68287986021414,76.3903976640457,181.227371515288,1677.7786715098084,2
455.34751171242726,152.38589143966195,85.45035239326572,183.13020356337285,1659.2119267746796,2
684.685319910676,153.6554938947718,74.12204196032488,184.7013672717335,1655.6006366440283,2
471.416730562262,154.42566119289003,55.38261753617238,185.4784518881438,1652.149822251108,3
438.41066329465286,153.72940824194163,56.646259783030764,185.79372013310757,1651.391877315343,3
435.88850102499265,153.3062805250704,55.645415612260535,185.5126066783809,1647.4769353883073,3
379.20970716842567,158.18194166586497,73.70881010473973,156.28215629712648,1489.2952770837953,1
374.75408457258374,158.1170035804491,76.51266058442268,156.07759928083564,1489.7346115924695,1
380.3169392072161,161.46969461662118,80.01916766506967,157.72924867748247,1501.046355439763,1
355.33786701438873,161.26060195028944,96.17416318875856,160.68512593800003,1484.0853136844376,2
351.2557962832792,161.8415163520167,94.60621146924677,162.2309198563134,1479.709087672267,2
349.7461515440737,163.35775718482506,96.44921345645616,163.40942543497098,1478.572572659087,2
327.73613064159827,157.11792016740816,102.42005370602627,188.3744980507386,1401.0910601363646,3
344.24098776513813,162.43598998643023,111.13645424411712,220.4538762507318,1395.2883045047067,3
320.50280101293913,147.74050367740958,103.74763588694228,213.31072708654503,1364.4199734357064,3
788.5558189207186,76.02871543123136,38.44389376192424,589.5386483298,2058.382855765295,1
801.9824675108202,86.55207376200407,41.21613321197106,573.6471905296288,1959.5211882764286,1
800.6964296576028,78.31904990520907,37.53744580000121,580.1282216246304,1996.422544583335,1
824.5133381901842,84.62640514278482,40.19842906009278,590.9757836530345,1951.9103256663955,2
795.4026191083902,84.91440480487134,39.604143899006594,607.2473752139603,1984.4286845042009,2
812.0863764268898,75.89606579435974,38.22938660475236,587.9340791703461,2037.7731432264493,2
780.8463893465411,81.05596837853795,38.20217517929298,586.8330649738093,2049.1307031151914,3
798.2863984701665,81.42580013450797,39.06829995211802,586.3885012376255,2018.1625694715622,3
818.5171633341957,78.71736270211912,40.22484437712448,591.4003098200268,2001.405749163094,3
440.3114155168687,157.1927543273201,57.34115025373982,204.39019682422366,1853.8999098980855,1
441.5353230301886,156.9711779318647,57.54183309780341,204.0702308601995,1851.242840970348,1
434.97185385488,155.77965471334008,58.00852646474268,204.6360947854636,1846.3717653080435,1
580.9895557108797,154.7973281697329,60.38716343989491,204.55212392915246,1821.0280368205388,2
684.5618594600695,155.43587673808406,60.51076656791163,203.45455634596382,1819.8071834010352,2
512.7888086440157,155.4440935809135,60.80803421902893,203.32009018969276,1818.661247317581,2
441.4720038905872,155.55663796760055,61.4195236037163,205.40315333991325,1827.603722643875,3
431.44065543723985,156.12051408304177,61.59786057397597,205.95192316931391,1826.8254367905927,3
432.90679365491167,156.39470818989932,61.998291017899895,206.79638075584347,1824.4072817289955,3
421.1963808833501,139.12711220658414,44.464930161520655,190.04891814450647,1804.6958327377386,1
483.52735040957435,154.7389059386978,49.115598259519224,191.8284790143136,1804.9381488534893,1
416.8322733261352,141.95218489050745,44.68096032458881,190.961147933975,1793.391187118475,1
451.0839268649374,141.24724413645728,45.864740616293545,194.78546749347475,1830.2611614273494,2
528.3390520235617,141.75433197459412,45.817184943983264,191.2175436073525,1828.0642977617886,2
460.883283454528,142.5026666763294,45.838486575916406,193.83288932977547,1834.937119380982,2
496.86766073396865,136.8307377514388,45.07611839686165,192.02871402937723,1841.7848465021323,3
2700.4330251084325,568.7639223512027,187.94649296743793,283.46859607203544,1851.4209353351375,3
451.5169758480203,137.33733550705907,45.639594388482045,193.39266362115114,1834.1466901015701,3
325.7379923065815,77.50780494815639,17.823461594326243,195.1587378023054,1788.7741761669427,1
320.3291874252756,77.6755544372497,18.223706668261038,197.32545617900522,1806.0747378035053,1
313.65393530096213,76.52329294079031,18.112474549406112,196.5047898896644,1798.5758840285423,1
312.10234961780134,78.62111297841645,27.213287651091186,201.6683009092622,1759.3243333630933,2
304.0463939653177,75.5253262848183,28.226982826081016,199.37084982874168,1747.9683799344396,2
299.8709237585804,74.57431525732251,27.210085338015464,197.5173221806179,1725.9141565206767,2
307.66166857206775,74.36298388959894,22.306033495741826,199.402636139397,1696.0628830738954,3
302.7239320093526,74.5362048722189,22.422407261713726,199.4459377760431,1686.6553431305717,3
300.8660102860618,74.89104239868118,22.178528898077527,199.37375368222425,1685.1664586046375,3
481.6720326593128,157.5895889122605,53.861659730553974,204.76553516897894,1861.4990964552794,1
472.62747055174475,158.14555432219632,53.71219954412191,206.8035171715429,1861.9928053995714,1
503.4795253115185,158.35135012825873,54.07134952359224,205.3833182197148,1863.1427852156098,1
490.4575530107042,158.51350194952974,55.669826847557545,207.32686169329733,1867.6779573759538,2
481.6472379976036,159.71756072417148,56.28705451372487,206.78971863381963,1865.166031485164,2
501.83179806605494,160.08411608632875,56.03114847070982,206.60205246550484,1864.9012776897857,2
461.4922860029696,160.33703066015758,55.014451976084636,208.42129175941972,1886.4415240908663,3
475.58561718638435,160.91949077346996,55.00320938416528,208.77041910842496,1885.362367004482,3
488.9478300788466,160.47153427142644,54.93376463479076,208.81699434136164,1880.5803244032777,3
414.2313603123638,154.5643405037416,56.02106726938322,181.10228030998854,1580.7957261412182,1
399.1227930252976,152.79094463475585,56.46804530511072,177.91518945483813,1548.004406074344,1
399.8444328230357,153.10760341700797,57.285731486047034,177.10121074187379,1547.227231896453,1
385.314660096862,157.36978120272767,63.83704263639422,171.25384141856995,1465.471236161576,2
385.12035518088,158.25847910179934,64.05366897517908,169.8489695526614,1453.429514971709,2
381.8928698509403,157.97266527189342,65.13367637161983,167.92118749395758,1429.4973901461951,2
351.76646915207715,160.4308563910366,72.99720810030148,154.44230463718935,1235.2341231394778,3
354.72298433267804,159.80729983005543,71.76827653939888,154.32384817933877,1249.0724102355812,3
355.9871644504566,160.60817145896382,70.78503573227452,153.52114825283124,1235.4176842196134,3
463.1150939050953,151.06248022613264,49.317143673733916,196.89357951210476,1872.1040568745968,1
449.87301360536196,151.23930015222734,49.497437042255854,198.242991064743,1872.550984817541,1
450.5599061691442,151.78784099054928,49.757408338392146,198.21660911656923,1873.0989975746086,1
512.4978145839555,154.23951513370687,54.68983266067206,199.42640660142686,1857.48371690598,2
561.1722162101747,153.73804191949603,53.87273657033272,200.213482902582,1865.1358921361316,2
571.5966584190393,155.06342477350015,53.58000486072278,199.81468484336978,1856.2865216257119,2
532.4107035945178,155.15451176830533,54.82199702097446,200.59831599372677,1856.6068712164656,3
508.47688023010693,153.42052152825735,52.67760639398835,199.43855810285498,1868.0889107483122,3
486.73452905362666,152.57146052817092,51.51389721878285,197.26669590467918,1858.2003325032315,3
462.10062746182837,160.33080854488884,53.49879072321695,199.3054641690385,1852.9754590781636,1
461.58084713978457,160.29984161244508,53.28893689905659,198.99064220020813,1852.8403010127943,1
461.6692085566236,158.86702652784018,53.13515838345978,200.17914486458344,1862.1763110008962,1
519.66562908925,159.8907689602941,55.49379004757416,202.24614375438088,1864.1186267746875,2
506.8531484038143,160.56503944265816,54.96343529546399,203.60379833930963,1876.023460891145,2
550.6730721418015,161.64826495841288,55.265619213268,203.25392038510995,1878.7694955539678,2
470.0196502655549,161.70416587973764,55.23862476304453,205.06111029207196,1899.2272824236534,3
460.2876546868437,160.72918908400126,54.550030275682616,204.41314862891429,1899.1660446870935,3
518.6437685794297,160.58948123506462,55.36228799207929,203.4846637271557,1899.6636416364315,3
434.48293511473264,145.44825023936744,46.70991254838686,185.72122174105766,1813.9679094427859,1
465.4313141518374,146.56518523646227,46.97093298400414,184.89072110129288,1817.117242474172,1
433.0927362516958,146.34800361577618,46.868648492223834,184.42686399336247,1817.9743607259122,1
