SampleNumber,number of,AF3,F7,F3,FC5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4,Zeros,Zeros_brdo
48,250,4063.97435856,7041.79487771,514.61537670,3212.43589522,6583.33333827,3915.51281982,2467.05127830,7733.33334070,5754.10256730,3356.79486992,5591.28205413,672.94871038,5000.89743750,7385.89744257,152,63
57,100,4749.10256515,2426.79486791,3319.99999806,2587.82050928,3693.71794754,6852.82051831,645.89742826,5186.79487381,5586.15384901,6515.76923557,294.61537621,2557.43589383,4896.41025780,3342.82051088,156,134
147,73,1850.25640519,6112.94872191,4042.69230728,91.02563220,4851.79487305,2829.99999702,1178.07691655,3567.17948572,6846.02564652,1256.41025009,2579.48717595,5784.10256737,7743.46154583,652.94871031,80,171
31,134,1682.05127664,4463.33333375,8102.56411070,8323.07693170,5669.35897735,7536.66667362,2592.30768877,7607.43590453,7694.87180217,5802.56410583,1106.66666000,3903.20512744,3049.74358718,710.51281301,30,97
253,20,7038.33333924,1966.66666181,1495.38460955,5280.76923293,5129.61538650,6630.25641533,7261.79487819,8242.82052130,7537.43590439,1747.56409729,2788.46153534,1975.51281572,56.15383726,430.25640220,96,83
37,252,5273.97436113,6073.97436287,2324.35897026,6321.02564541,1453.33332743,2260.89743166,5462.17948975,2022.69230297,1407.56409652,431.15383810,3953.33333271,517.05127413,3138.58974123,6876.66667223,93,97
26,42,3428.84615211,3960.64102502,758.97435161,2680.89743257,691.41024891,4411.15384651,5653.33333633,3865.76922994,6246.15385040,7033.33333924,7346.28205782,6628.20513321,3940.64102502,2724.10256091,37,192
169,84,8302.69231624,7326.53846807,7278.58974999,3401.92307512,2217.82050852,3800.89743493,5936.28205483,4028.71794824,2183.84614947,7085.25641624,2889.61538177,6965.00000577,5643.33333626,3993.71794817,209,88
128,162,1053.71794198,7999.87180280,6741.92308221,7679.48718672,7607.43590453,2693.71794546,944.48717247,7633.71795588,6217.30769648,5568.20513099,1554.74358405,3079.35897186,4732.56410361,1606.28204566,129,249
236,124,5705.25641332,1858.84614878,2551.66666306,5209.74359176,7544.35898131,5752.43590064,1093.33332667,5377.30769467,3957.56410194,3281.53845946,7427.94872469,7290.00000647,7995.38462331,5702.82051588,103,57
140,106,3941.53846092,7526.66667362,5463.07692565,170.89742728,4378.46153874,358.71794045,7326.79487833,3401.15384435,8396.02564978,736.15383872,4699.61538559,5706.41025947,5207.82051484,6938.20513391,47,177
169,132,297.43588910,1407.17948114,7914.35898215,5689.61538768,5207.94871997,3650.25640901,7343.97436551,2814.23076618,3522.69230617,8273.20513676,2609.35897089,2240.25640602,5515.89743861,2576.66666313,203,38
155,148,627.56409492,5320.38461768,2287.43589327,276.66665826,3130.12820277,2158.71794427,4759.74359086,4181.92307679,2015.38461066,6441.66667133,58.71793983,5120.00000188,1951.15384129,406.28204316,26,157
217,181,1710.64102029,6367.94872247,6180.38461949,25.76922181,4577.17948788,2194.61538024,5013.07692468,4285.25641033,6910.51282615,3382.17948538,5205.38461740,7658.84616108,2847.30768932,5442.82051533,38,45
109,33,6597.69231270,2607.43589397,6008.33333709,7536.41026336,2978.84615114,3162.82051053,2172.05127768,4069.87179453,7138.33333945,320.25640192,2955.12820242,7667.17949441,1620.89743034,84.35896554,217,31
117,21,450.89742784,5635.51282344,8194.10257244,3451.66666500,3318.20512626,676.79486422,4856.79487305,6953.33333904,961.66665972,7382.43590404,1249.61537830,2857.69230478,5003.71795032,3622.30769099,193,109
13,106,5393.84615628,6423.20513280,8119.35898256,3551.02563957,3147.30768995,3584.10256272,1761.02563575,4207.82051275,5691.53846460,8250.12821361,940.25640324,1092.94871128,3969.35897374,375.38460719,4,90
218,245,7946.15385401,4306.15384630,882.05127490,3761.53846050,1831.53845640,4434.74359016,4848.20512946,6682.05128720,5853.71795213,1135.76922417,7267.17949358,4649.23077007,5996.02564471,8358.84616254,57,207
92,223,6302.94872233,3721.79487069,5468.46154104,7340.00000654,257.82050435,6808.46154389,3313.07692107,107.94870920,5009.87179647,4343.71794893,6482.05128678,1657.17948169,8098.97436711,6421.15385074,142,55
136,183,7208.71795498,6179.35897846,5156.28205323,3125.76922841,6372.69231221,7265.00000640,4453.71794914,1326.02563485,7406.92308360,391.53845334,4075.89743555,2561.02563749,3760.25640922,3757.17948614,8,216
238,244,18.71793976,1889.48717449,1388.20512216,3577.17948572,7790.25641776,3946.79487117,5273.71795088,3424.87179314,5630.64102856,2496.66666299,3908.97435828,4064.87179446,4701.92307790,7460.51282733,117,231
232,1,6797.56410799,8393.07693184,3226.79486964,4096.28205094,6499.74359454,6628.97436398,1945.25640540,3112.69230526,1446.28204538,1121.66666007,5402.56410500,6447.94872261,3881.92307616,682.30768474,125,40
196,97,6241.02564527,2013.58973887,2452.05127823,2632.30768891,6136.28205525,3510.76922917,3437.05128032,6689.23077438,5719.61538775,5976.15384984,2983.71794601,3517.43589591,1137.56409597,3012.82051018,253,116
