SampleNumber,number of,AF3,F7,F3,FC5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4,Zeros,Zeros_brdo
124,12,3574.74358829,7497.05128893,2806.02563797,6349.35897881,878.97435182,3381.66666486,64.99999111,5323.97436127,622.17947947,5219.23077132,3209.61538240,4651.92307776,8308.33334195,2101.02563651,254,145
28,179,4732.05128310,6596.28205622,7070.51282649,4193.84615371,4880.64102697,2000.51281572,4362.82051303,5092.94871976,2334.99999597,849.61537739,7070.25641624,7165.00000619,1547.17948149,4404.10256445,72,170
3,138,3058.20512571,3660.25640901,3807.17948628,7531.41026336,6415.00000459,402.30768418,3401.79486999,7948.46154632,569.23076145,7961.02564888,3797.05128108,1165.25640373,7732.94872532,6036.79487555,92,173
103,75,7491.79487868,1555.76922508,8097.94872608,683.97435140,3267.82051074,6613.58974860,7804.87180238,7421.28205803,2727.05127886,3637.17948586,5385.25641269,8089.23077736,7411.53846821,760.76922341,67,210
95,120,777.56409520,1558.33332764,5364.48718185,4413.84615420,2026.79486707,3876.92307616,5130.12820701,5140.00000188,2838.46153548,2168.20512383,546.66665882,1020.64101884,1989.48717470,2817.82050977,116,205
180,167,2318.20512411,6368.07692760,5059.10256584,6410.64103023,360.64101738,1695.25640484,4819.23077042,3263.20512612,7329.74359628,6155.25641429,6009.74359350,5743.07692621,4271.53846161,7514.74359663,163,105
209,4,1480.25640442,6356.41026086,1618.84614829,7234.87180120,7577.30769933,4384.23076951,7826.41026399,4531.53846217,6094.87179877,93.58973477,942.30768529,51.66665778,7330.64103218,4728.46153951,75,180
63,221,4104.87179460,3551.02563957,6905.12821076,2664.35897103,8389.74359850,3398.46153666,5571.92307971,5941.79487541,7980.51282844,8131.53846974,2210.38461108,376.66665847,5803.58974686,5581.41025926,179,38
116,39,4453.58974401,2215.76922646,6791.66667202,2194.35896999,639.74358210,1068.58973685,168.07691446,2026.66666195,2680.38461205,4945.00000146,3896.41025565,468.07691509,3943.84615322,264.87178647,169,17
1,51,4298.84615392,1896.92307192,158.46152978,3167.56410027,6020.89743965,8307.43590606,6791.66667202,4630.12820597,8303.71795734,4564.74359044,7305.76923724,3567.56410111,332.82050456,148.20511952,178,78
76,50,3362.43589556,4197.82051269,7219.61539087,2666.53845821,7111.41026246,1567.05127636,4256.02564103,2913.58974074,8147.17949545,1557.30768661,2653.07691968,7397.82051950,3920.25640957,5937.94872150,85,129
78,150,7119.87180092,6882.17949274,1284.10255785,6149.23077326,6899.74359538,4000.25640970,7363.58975019,7701.92308422,3361.28204941,3165.89743361,7132.05128817,4371.02564131,1257.69230137,7344.61539115,230,197
157,218,2050.51281586,8282.82052137,7514.74359663,4365.00000021,1788.84614864,1738.20512286,4976.41025794,2686.28204795,1489.74358391,2383.46153450,5140.25641214,1018.84614704,5001.02564263,3225.25640811,142,59
183,8,179.23076062,666.66665910,7765.89744334,3585.64102426,913.33332625,6497.94872268,7731.53846891,7585.25641735,6133.33333730,4999.87179647,2342.05127802,3963.71794810,8190.51282886,5339.35897666,249,84
99,217,77.82050400,5823.58974693,194.99999139,2926.66666389,8069.35898242,3848.07692225,3645.38461414,2957.69230499,5418.71795122,418.71794059,5842.69231110,5465.64102822,2832.05127907,5489.23077188,180,254
141,83,7360.12821173,7269.35898076,1066.79486506,4267.30769238,7275.25641665,6683.07692822,6663.20513335,3345.89743396,8356.53847023,6203.20513238,1183.33332687,6895.12821076,3152.94871566,7377.56410917,222,243
183,230,6456.53846620,5420.38461789,7384.48718609,1813.46153332,1978.20512341,7795.76923828,4619.10256487,937.82050581,915.64101856,3239.87179272,4988.33333487,5220.12820722,5773.58974679,6184.23077333,187,45
116,13,7063.33333931,1004.74358287,4289.10256418,4258.71794872,6045.12820895,1430.25640428,138.07691439,5043.07692475,4942.30769377,3545.76922931,8183.71795706,5370.64102801,4844.48718074,418.46153034,44,30
222,217,4849.23077049,7027.94872386,7617.17949434,7517.05128900,5389.10256654,8214.35898277,6134.48718345,1365.25640415,8271.28205983,3162.05127976,7253.33333973,455.12819707,5682.05128511,415.12819700,246,65
68,23,6808.71795414,5467.56410514,3682.94871677,7200.76923703,4789.87179599,4034.35897388,863.58973644,5171.66666862,2989.35897172,6438.71795338,3019.23076659,7771.28205872,5863.84615725,5444.74359225,197,6
