delta ch(1),theta ch(1),alpha ch(1),beta ch(1),gamma ch(1),delta ch(2),theta ch(2),alpha ch(2),beta ch(2),gamma ch(2),delta ch(3),theta ch(3),alpha ch(3),beta ch(3),gamma ch(3),delta ch(4),theta ch(4),alpha ch(4),beta ch(4),gamma ch(4),delta ch(5),theta ch(5),alpha ch(5),beta ch(5),gamma ch(5),delta ch(6),theta ch(6),alpha ch(6),beta ch(6),gamma ch(6),delta ch(7),theta ch(7),alpha ch(7),beta ch(7),gamma ch(7),delta ch(8),theta ch(8),alpha ch(8),beta ch(8),gamma ch(8),delta ch(9),theta ch(9),alpha ch(9),beta ch(9),gamma ch(9),delta ch(10),theta ch(10),alpha ch(10),beta ch(10),gamma ch(10),delta ch(11),theta ch(11),alpha ch(11),beta ch(11),gamma ch(11),delta ch(12),theta ch(12),alpha ch(12),beta ch(12),gamma ch(12),delta ch(13),theta ch(13),alpha ch(13),beta ch(13),gamma ch(13),delta ch(14),theta ch(14),alpha ch(14),beta ch(14),gamma ch(14),state,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16824.40975,755.7195537,301.4114822,446.7395594,372.1485938,12251.4753,1036.750748,108.2048768,922.3003032,1431.995004,161938.778,14637.39313,5593.792601,4307.890973,1273.562483,21983.23855,159.368177,60.88076067,853.8541524,1333.588235,3875.503164,956.9348172,590.2522322,2114.237374,2224.160919,119.6593169,25.32847558,35.30776504,917.0736023,1539.421243,151.2482193,25.34163114,33.09269401,668.7795513,1071.422716,360.3553338,40.22982787,58.47944607,827.7139763,1233.993994,399.8903838,35.66596837,50.74175108,779.1224514,1194.759158,3463.781493,78.96731745,70.43768305,900.1077079,1357.181483,5091.34599,172.8919004,76.33564583,851.4915638,1288.053386,20393.45615,407.4507157,84.79226828,820.8889537,1222.193374,62070.72894,239.3561536,97.53534637,614.0655902,935.2629629,3478.061346,103.4681878,64.78136052,825.5886086,1265.526848,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13905.55938,302.6207446,71.45559878,237.22756,198.3463025,1212.145499,56.65178081,42.67467956,1014.854935,1068.126242,174683.9705,9591.885932,1868.973969,2220.416462,665.3764203,3351.809318,111.0010925,50.33956104,967.0238764,1020.384759,34632.57248,5650.367418,2223.995465,3018.352577,1962.574102,830.4099739,14.88670936,24.22089477,1029.333999,1165.795447,117.38758,16.84997818,25.67781389,737.3096243,818.0633256,243.2677543,34.72688812,50.71930764,905.4797739,922.2167107,218.7237815,31.71787665,41.05653561,873.118452,875.0665859,2604.76119,119.303048,56.57730678,1003.334555,978.5402801,3463.235628,255.4678922,81.51711082,950.2184361,966.0432888,2359.695053,222.5714383,75.8710462,905.5437018,922.4977859,3814.630283,162.6790547,56.6302448,684.6146675,713.5713826,2616.831011,97.39076883,58.57397821,928.9139015,943.9587633,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7284.49379,205.5302109,66.08163605,109.0569313,79.04045688,4567.455832,249.5933721,79.54684961,425.4273763,380.7885875,67244.4163,6332.71168,1038.618464,1314.722268,292.0310635,26385.57896,475.1347048,70.93773717,363.5127185,345.8254997,21324.16147,3170.394363,878.7145024,2069.774273,957.4668863,76.97473087,18.0421415,27.52326413,386.5233663,387.6073042,88.32083357,21.21031428,29.54411783,282.8113578,271.5314024,169.2351109,39.76961725,48.71381629,353.2465497,304.3299167,438.2597179,35.34239863,42.65409278,343.1724289,300.3341007,7320.443881,77.31021297,49.84047834,400.3824138,351.0758305,12328.49081,169.3853012,64.00402388,372.0022171,340.9167406,99964.3947,1038.283338,103.499555,351.4516039,325.5377389,72168.13451,2348.92734,159.5036316,325.2822054,268.9847556,2294.995993,119.7091727,50.81956939,362.0734226,330.1165866,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50624.87092,2300.979523,962.3987563,1144.35829,790.2884911,12291.40396,233.8941141,48.49397889,848.6226593,1388.410392,328664.462,16846.26754,4441.496015,4389.186486,1294.661013,3953.697656,135.283991,44.55927079,821.2162243,1313.459264,7546.574917,1309.334563,997.4507859,2514.400065,2636.242447,200.8815701,28.23865832,32.71569809,862.2479189,1552.858427,192.7788202,29.70686088,33.90099277,631.4234873,1089.593883,375.3808253,50.7373549,56.60998585,766.6202901,1223.282489,382.1083224,48.53635477,45.34117681,741.9140315,1174.978026,2587.530402,116.6568528,58.67953696,903.0051865,1359.828565,16738.12868,439.3033118,93.41511257,813.3596301,1268.168528,14602.7183,314.2276672,79.14605872,768.4607831,1206.728945,39260.51279,4242.842445,841.1511544,934.9605315,1250.465938,256479.7405,4339.630438,1378.575539,1892.846966,1392.771338,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
863.1320653,25.4336309,9.657250149,79.8740897,81.04428539,668.1088459,67.16464153,32.62340073,389.7439815,304.3683754,122491.4269,10150.54888,1009.693874,3667.874827,2204.056106,5584.690563,147.5338134,40.92359201,377.6103643,293.2918173,21394.48788,5089.968785,2964.45437,5096.139549,1335.261908,101.4888267,18.60945142,21.32151207,382.0187176,327.3655947,102.8864702,21.44066219,24.80145278,295.0573115,245.153343,203.7506425,38.2783624,45.11325461,360.7635132,271.1323349,232.9974038,31.36196969,35.9408959,329.0500906,257.5290178,566.5774629,45.90554579,45.7088857,406.249171,321.362016,4738.072407,164.5480415,58.33190456,389.7403892,293.6569447,2521.099155,193.2212106,55.88288259,368.2194562,281.1381867,932.0615701,85.70921811,37.38443977,294.2144048,225.3300772,932.4267889,88.14366003,50.84954827,373.0777257,282.5342986,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
