delta ch(1),theta ch(1),alpha ch(1),beta ch(1),gamma ch(1),delta ch(2),theta ch(2),alpha ch(2),beta ch(2),gamma ch(2),delta ch(3),theta ch(3),alpha ch(3),beta ch(3),gamma ch(3),delta ch(4),theta ch(4),alpha ch(4),beta ch(4),gamma ch(4),delta ch(5),theta ch(5),alpha ch(5),beta ch(5),gamma ch(5),delta ch(6),theta ch(6),alpha ch(6),beta ch(6),gamma ch(6),delta ch(7),theta ch(7),alpha ch(7),beta ch(7),gamma ch(7),delta ch(8),theta ch(8),alpha ch(8),beta ch(8),gamma ch(8),delta ch(9),theta ch(9),alpha ch(9),beta ch(9),gamma ch(9),delta ch(10),theta ch(10),alpha ch(10),beta ch(10),gamma ch(10),delta ch(11),theta ch(11),alpha ch(11),beta ch(11),gamma ch(11),delta ch(12),theta ch(12),alpha ch(12),beta ch(12),gamma ch(12),delta ch(13),theta ch(13),alpha ch(13),beta ch(13),gamma ch(13),delta ch(14),theta ch(14),alpha ch(14),beta ch(14),gamma ch(14),state
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103.269475,35.30161057,58.78894471,42.19933658,23.23092955,126.1988153,32.73846369,54.09338086,43.80519566,12.2471933,158.6496745,46.68357048,63.84779025,48.68382824,21.15581546,195.2973358,40.66227946,53.97833914,47.33708173,13.53307308,76.93464981,17.49408279,31.8381897,58.89151513,34.36626646,59.45473966,11.38315716,22.40934258,24.11417879,16.24371277,73.81679304,15.70271316,29.03559833,37.94797544,21.39066638,128.9997939,34.31877261,71.4571679,62.99548701,22.58457883,69.10995594,28.94831353,53.55385149,59.88755662,21.80587446,103.6849348,50.00479126,83.03020876,97.05783487,33.01466074,259.8392723,75.50586286,102.7609463,87.57619767,24.96426085,499.4352363,80.0663895,86.97120024,67.13759967,16.81719887,144.007035,38.63617248,71.20049715,54.20312003,13.69698464,92.10764143,35.31420394,60.8883146,41.6220161,18.97623554,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
403.6695268,41.65404089,40.19512368,48.58173337,26.78881954,505.8393144,36.50157727,38.84293122,53.48647305,19.80878586,698.5643986,54.47630427,44.97186499,56.22507306,25.81891681,504.2117956,40.83522482,40.84912155,57.95854847,19.63946201,544.9917267,22.41725832,21.15477803,86.60554274,64.17487346,339.1544509,13.80394331,19.86015094,38.62242685,26.15426168,328.7640962,18.30231914,31.88262187,46.14817998,26.96650859,467.1362495,35.50962462,57.38935763,68.78687447,27.88560293,298.6009579,31.90224186,46.4424022,67.03740847,29.04294294,651.1461,59.9587603,74.12153714,112.1420506,55.4098701,622.5866279,70.34616988,78.91306903,85.63971132,23.94508703,647.6604001,75.00839661,64.01915523,63.88749838,18.99607627,431.5761966,48.78991549,60.51686246,61.59290278,20.15743719,377.7358948,43.06661883,47.57193434,45.94650804,23.21101734,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
279.6819131,42.72869149,59.15894332,60.1584313,43.38838712,580.3509717,41.43164326,53.96146248,69.93384492,31.86477924,1839.597297,48.76227481,68.76675534,64.00625996,42.9650033,319.8316316,47.79628023,62.05494708,65.72676708,25.70160629,365.1422561,25.50768236,31.4795339,154.5920066,131.0221147,293.5798442,20.37281917,25.94637341,49.46527778,34.0798349,244.7691319,25.73772002,45.21879935,55.25736602,33.01630089,523.0741046,49.70632381,81.59433057,78.62242245,34.32497848,280.5471465,36.81024517,52.88741155,85.09143633,46.90579504,407.2150008,58.53951124,85.70229524,146.5787033,97.62229637,354.486455,67.91294856,106.1474765,98.97504192,31.43933811,362.9747831,62.71864938,85.96686506,74.46285858,25.43417844,322.5882696,49.68968247,76.73078005,74.87674276,26.71268522,253.1488353,46.14867959,62.59738658,57.1155524,40.4431408,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71.57652787,38.84435245,55.1630058,57.25810159,33.05165268,87.05842945,37.38081541,47.81660304,59.31198034,19.49160133,184.2493158,46.7898735,59.19947537,61.74939138,35.9524047,110.6693301,42.29305924,49.42247738,62.89827746,22.72970007,77.3837936,22.89959068,31.20964588,68.4436187,33.24524241,44.85854813,14.71823775,26.10970903,37.80062501,19.86762259,61.37023924,19.66060743,30.7986022,50.83932103,25.79828555,77.94424817,40.7304163,86.20598426,77.93895412,29.21588109,46.12072155,31.74941738,54.77506933,71.18835693,28.26416339,70.89123366,52.07899353,82.38147918,103.8304753,42.09136361,92.31720451,60.02475089,94.63715529,92.37724886,25.23634155,87.40104175,47.98590707,72.4781166,68.59275715,21.45135859,124.0931024,45.41537681,73.9855842,69.5534245,19.4414546,59.36532739,34.60492917,63.03569684,53.39942085,27.53063788,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116.145982,49.99554407,59.26639443,53.2697441,32.98448944,163.0375311,47.37747501,53.462605,58.57998457,17.21247267,154.3284322,58.83964951,61.73293031,59.01129847,36.49949401,153.3184058,52.16806898,57.23283376,62.0735714,19.80669601,126.2875663,32.57861028,35.73835214,63.65503697,29.12774724,113.8302563,21.64361749,31.22458643,36.15233823,16.74326687,114.5188875,24.41177708,36.90805767,49.15786028,23.66241773,165.414285,39.6800787,75.0736843,61.95823027,22.42844597,104.2583374,35.22599618,66.16595632,63.1544919,21.14121617,136.7927429,56.17106464,79.94273483,96.42183189,31.94660407,158.2532808,70.90695436,81.6598665,85.40159862,22.41030656,141.1985668,63.21977863,68.28262279,64.81911765,18.61068489,139.7547759,52.28548811,64.24915964,62.50872489,16.91530277,108.3675898,50.11850305,61.49374764,49.699174,26.49577952,1
