delta,theta,alpha,beta,gamma,state
60701.39721975996,1279.345251963608,160.75246939367776,98.26067175273414,36.881025837504204,1
68151.54516154567,285.88440674904547,62.194794682580294,80.08146628945424,43.999694392487164,2
20722.400759290056,147.17739487150362,41.93238163153303,60.679187809004304,25.21031950296772,3
1448.6808479271986,49.43335954014952,29.426873859860756,67.85842057365052,30.489367446962312,1
2102.7257827680296,51.966559725709615,56.36667537976182,67.75213915629983,26.077351799920002,2
796.4537941836109,53.777130284421354,30.915027697917893,75.83229539791816,32.416320851382864,3
594.1520568598831,82.00940507217612,50.64798947555037,80.6299406744643,35.66576461902049,1
628.608452748665,92.37696241562665,84.77017777391589,92.31205490597998,22.468000458429465,2
412.12741272544446,59.45079482448577,101.00560177019238,63.698664342436906,23.221479360104443,3
435.4804367310253,61.40629855265762,43.26281930660477,84.11964308505333,31.51843672251867,1
2288.089838186251,75.56806237837702,128.6723836573834,117.51046406040405,25.88440494806619,2
1522.3413029519531,67.04623648630651,97.1670856293625,104.1640428025076,25.350743383303072,3
520.0875632124004,64.6914820562067,38.66917392727408,80.38460933396878,28.632846371209656,1
2090.185173544355,57.28397715212247,79.03312607388895,95.5646627156424,24.717045799594292,2
678.5619125210269,50.71727180290343,74.99138783283061,98.59065633717285,31.283359601363642,3
573.4500924995612,101.52175898300005,42.552227063231086,59.38920106792415,24.664311002777353,1
303.48340996871696,70.77036094347481,288.24286618893086,146.8308566373359,22.978696124927904,2
357.0855764984731,74.81820213554954,289.5144904774221,178.0315697355382,22.048933409722114,3
803.2868685223394,115.97257884979832,41.46268706436014,56.319101041486654,23.594825775286214,1
255.45255852287232,72.38561661234944,282.2272478571458,162.9719330520926,26.820401262200132,2
418.59412224871915,72.8410379015746,202.86016803657967,179.92129446828446,23.125130280948227,3
601.9947228068007,102.40752848597684,38.46501949440444,51.491021520883976,22.450049955415828,1
283.6610251440563,66.33963748956742,30.00111689265333,47.12595091795343,21.403129614096535,2
243.08369493037782,56.69116505177662,173.60179909260037,181.90099849417385,21.337167174077425,3
411.16491122027577,100.2731483736242,49.978107768076114,75.17345039641866,27.82216952884355,1
169.52863686300964,70.14226411144544,233.8722224251596,228.2206505052004,19.866311897391185,2
360.0816945534663,89.4465178433283,49.69745643007447,71.55744910684263,26.973913294811414,3
1266.3437069239446,128.4810567302909,62.09310629050219,77.7716733942874,21.374259759492052,1
2938.6332760369914,658.903587971062,527.6156672544892,727.6259630585355,127.0905390947957,2
1963.991745182853,305.82202115337395,271.59269470833704,514.441842959832,169.83217963329395,3
807.5421053198011,139.48492431848257,55.83969365758455,68.087610695384,22.893120314434036,1
587.7582339994094,74.04535232409175,68.17062927191478,84.54768300527033,19.235905036116197,2
451.716237269901,64.48309153823197,76.22980736703046,86.87814762560012,19.404829007676767,3
10871.8335116965,99.79496334454306,41.241003365837415,69.72824498668552,30.121295798769257,1
7700.216275209425,80.95115672292121,38.3956028937279,57.56029414138066,26.78529676955524,2
8085.998286612507,85.74909943167779,32.9446527130766,57.21549994441367,29.88315015411344,3
1241.2697307234403,116.96576567921447,60.40516695612944,74.98191725991488,20.735256843055627,1
306.71296018254145,47.477330059308045,150.2110746599942,70.5206849465055,20.507854190443645,2
658.0145732474424,89.20585154763131,99.26788911296437,86.35023727292212,21.75386367095946,3
587.224285659388,131.41464483553955,54.133341553117596,62.17441810241029,18.40581763861083,1
174.92800969117275,38.73786684595058,82.79949347013392,61.319242258874866,19.461041377488826,2
191.40910304183438,33.31400733391219,62.07812694607069,51.53323213252971,17.24128015522856,3
410.22713048468006,82.69273578616577,50.79877619744452,65.58416405226384,22.25534397432759,1
463.37961993181733,68.94696606605439,87.38606271156502,84.30712498137879,19.589187037256604,2
271.7154686628021,65.54617433002635,101.91458166633502,88.70424631376666,18.436930128768672,3
672.6725558740208,85.72966731230122,65.65454353926063,71.3193887686895,25.31235459448547,1
531.9638914288015,114.75424623991549,104.4624115386157,64.11267701113395,19.388061187515536,2
277.2715522374489,91.00763315954484,171.51885801242508,97.04287059379462,28.95765868606293,3
459.40742432444995,96.82079282678892,93.14866051319169,83.52846109907352,21.74711984183816,1
235.22800290404854,97.63448504240857,150.33283462170792,62.927658786320094,19.24107239776257,2
234.23133080577452,138.94258361598634,210.9548573791741,104.48093496598452,20.280690831363945,3
684.0090690196539,131.9129018731767,256.4349615526397,113.5512850662619,25.040641285980897,1
737.9369469663989,249.4145262808322,382.35700453234824,220.2854255180414,44.378264703469654,2
422.4862431352868,186.37833000055846,658.7962393530263,151.47751229082496,29.98187021303849,3
884.2281666845462,141.50089224301095,152.55012293644248,108.30323570713769,28.25907617528117,1
901.31145330426,241.69582666198065,460.9568174452254,382.2020812243467,87.22738914737805,2
462.40866594179266,215.79055422696024,294.78243044210967,195.43616014193933,58.72523382238323,3
1522.7637040178522,129.5430365344726,149.07333777097926,88.29260765455926,32.57375780888817,1
6462.456830597476,344.8899646972665,432.45169789696416,331.44909491690186,73.37947952274911,2
1082.7672551632745,162.2740186231509,283.04861040363267,200.7050045762137,57.45994636671413,3
1963.9998678545062,61.04666509370453,30.402972058399392,29.853236767288863,16.359722354117515,1
1242.6823247194482,38.70194361663857,27.695026221404362,22.761465133887615,12.988617351533406,2
2297.5805988831557,198.97461938454515,127.8329203462799,82.75427386339588,21.91411773393432,3
335.7745569345927,66.57416475853995,53.01200942049253,42.5792026872816,19.114541776686593,1
134.986812803235,163.1907543960208,277.08557887207627,47.59423380042884,19.19027345347295,2
138.30008996409495,127.45361685358603,229.944227020204,48.49138225908702,20.932027057606778,3
7280.481490927261,98.77299904628293,35.65288490953154,55.27495553213137,22.7895937933686,1
2290.801651771745,71.14626853725262,139.74831976051792,58.0538000736345,20.288670238509884,2
8044.991806844884,110.69652906974866,36.820792958567154,54.13962099080006,25.747041016641266,3
